id,average_accuracy,ECS
1,1.0,0.9191111028194427
2,1.0,0.9145332078138988
3,1.0,0.9297089278697968
4,1.0,0.9209192295869192
5,1.0,0.941937655210495
6,1.0,0.8986976444721222
8,1.0,0.9446998437245688
9,1.0,0.8399373193581899
10,1.0,0.8540101448694865
11,1.0,0.9321134487787882
12,1.0,0.8951292335987091
13,1.0,0.9804851909478506
14,1.0,0.9709845085938772
15,1.0,0.9712185760339102
16,1.0,0.9517885049184164
17,1.0,0.9313823481400808
18,1.0,0.9167681038379668
19,1.0,0.8796143432458242
20,1.0,0.9433491031328836
21,1.0,0.8011230727036794
22,1.0,0.9149575432141622
23,1.0,0.8496916393438975
24,1.0,0.9258886675039928
25,1.0,0.8767324388027191
26,1.0,0.9493424991766612
27,1.0,0.950758308172226
28,1.0,0.9360579748948415
29,1.0,0.9546355903148652
30,1.0,0.8898777961730957
31,1.0,0.9478822648525238
32,1.0,0.9390561381975808
33,1.0,0.9526985883712769
34,1.0,0.9500352839628856
35,1.0,0.8921693960825602
37,1.0,0.9252580404281616
38,1.0,0.9353915254275004
39,1.0,0.9234742720921836
40,1.0,0.9577810267607372
41,1.0,0.9291156232357024
42,1.0,0.921161820491155
43,1.0,0.9016011357307434
44,1.0,0.887909452120463
45,1.0,0.9415016869703928
46,1.0,0.949709246555964
48,1.0,0.7986133793989817
49,1.0,0.8972427447636923
50,1.0,0.9148379762967428
52,1.0,0.9396345615386964
53,1.0,0.8932161728541056
54,1.0,0.9599366386731466
55,1.0,0.8764543533325195
56,1.0,0.938258022069931
57,1.0,0.9629765450954436
58,1.0,0.950685332218806
59,1.0,0.9140846927960714
60,1.0,0.8475072781244913
62,1.0,0.9348930617173512
64,1.0,0.9446920851866404
65,1.0,0.968337059020996
67,1.0,0.8673567771911621
68,1.0,0.9338768720626832
70,1.0,0.8987722794214884
71,1.0,0.9462595184644064
72,1.0,0.9289275705814362
73,1.0,0.9103394051392872
74,1.0,0.9449742535750072
76,1.0,0.8956920504570007
77,1.0,0.9460318386554718
78,1.0,0.926932046810786
79,1.0,0.9197759528954824
80,1.0,0.9139109154542288
81,1.0,0.9053123195966084
82,1.0,0.9411448339621226
83,1.0,0.876517673333486
84,1.0,0.9513293206691742
85,1.0,0.9465875923633577
86,1.0,0.946904867887497
87,1.0,0.9204164246718088
88,1.0,0.9558440645535788
89,1.0,0.9623187482357024
91,1.0,0.946906308333079
94,1.0,0.9285297691822052
95,1.0,0.9334924519062042
96,1.0,0.9562061429023744
97,1.0,0.9538053572177888
98,1.0,0.8492037455240885
99,1.0,0.9491797983646392
101,1.0,0.846544086933136
102,1.0,0.9346462388833364
104,1.0,0.954897960027059
105,1.0,0.9009550213813782
106,1.0,0.929344097773234
108,1.0,0.89678755402565
109,1.0,0.8640246987342834
110,1.0,0.8634020785490671
113,1.0,0.9585988521575928
114,1.0,0.947498212258021
117,1.0,0.9819260835647584
118,1.0,0.8815679351488749
119,1.0,0.8864085376262665
120,1.0,0.9224596420923868
121,1.0,0.9173905551433564
122,1.0,0.9661856194337208
124,1.0,0.938740869363149
126,1.0,0.8693717618783315
127,1.0,0.8933897515137991
128,1.0,0.95945006608963
129,1.0,0.903187264998754
131,1.0,0.8200311660766602
133,1.0,0.9680386980374656
134,1.0,0.9170097311337788
135,1.0,0.9640954633553824
136,1.0,0.8998654186725616
137,1.0,0.92299751440684
138,1.0,0.9730835358301798
139,1.0,0.9338138500849406
140,1.0,0.9523560305436451
141,1.0,0.9381810824076334
142,1.0,0.9411493142445884
144,1.0,0.9500497182210288
145,1.0,0.8931453227996826
147,1.0,0.9323424597581228
148,1.0,0.9620480140050252
149,1.0,0.8832054138183594
151,1.0,0.9179773430029552
152,1.0,0.9304363826910654
153,1.0,0.9594577153523765
154,1.0,0.8970833619435629
155,1.0,0.9100788434346516
156,1.0,0.8795803785324097
157,1.0,0.9209978779157004
158,1.0,0.9636176327864328
160,1.0,0.9201052983601888
161,1.0,0.9316737552483876
162,1.0,0.909494936466217
163,1.0,0.9187681873639424
164,1.0,0.927254855632782
165,1.0,0.8987665176391602
167,1.0,0.9558271169662476
168,1.0,0.9076403776804606
169,1.0,0.9277666608492532
171,1.0,0.9271557331085204
173,1.0,0.8906121353308359
174,1.0,0.9021908938884736
175,1.0,0.930809219678243
176,1.0,0.8983482519785563
178,1.0,0.891335517168045
179,1.0,0.8968501687049866
180,1.0,0.9573990801970164
181,1.0,0.9201326767603556
182,1.0,0.9356271425882976
184,1.0,0.9245078861713408
185,1.0,0.939045657714208
186,1.0,0.8911352455615997
187,1.0,0.9689212640126548
188,1.0,0.8977522353331248
189,1.0,0.8739994267622629
190,1.0,0.9104013442993164
191,1.0,0.9414323568344116
192,1.0,0.8333182533582052
193,1.0,0.9300840397675832
194,1.0,0.9799655874570212
195,1.0,0.8873284260431925
196,1.0,0.9391083220640818
197,1.0,0.8723334570725759
198,1.0,0.9243624011675516
199,1.0,0.92951171596845
200,1.0,0.8764547606309255
201,1.0,0.9158327082792918
202,1.0,0.9473509192466736
203,1.0,0.9538585444291432
204,1.0,0.9297107656796774
205,1.0,0.968348115682602
206,1.0,0.9643302957216898
208,1.0,0.919279764095942
210,1.0,0.9462167024612428
211,1.0,0.969339499870936
213,1.0,0.9184834162394204
215,1.0,0.9306850532690684
