id,orig_Z,orig_uplift,orig_necessity,orig_base_score,orig_half_score,orig_full_score,orig_base_issue,orig_half_issue,orig_full_issue,orig_correct_letter,orig_options_json,lex_Z,lex_uplift,lex_necessity,lex_base_score,lex_half_score,lex_full_score,lex_base_issue,lex_half_issue,lex_full_issue,lex_correct_letter,lex_options_json,syn_Z,syn_uplift,syn_necessity,syn_base_score,syn_half_score,syn_full_score,syn_base_issue,syn_half_issue,syn_full_issue,syn_correct_letter,syn_options_json,ctx_Z,ctx_uplift,ctx_necessity,ctx_base_score,ctx_half_score,ctx_full_score,ctx_base_issue,ctx_half_issue,ctx_full_issue,ctx_correct_letter,ctx_options_json
1,5.700233653000001,1.0836978643999995,8.7349965474,5.700233653000001,-1.9510650299999999,6.7839315174,OK,OK,OK,D,"{""A"": ""22"", ""B"": ""6"", ""C"": ""2"", ""D"": ""12""}",-3.24840725,7.435661159,6.273864849000001,-3.24840725,-2.0866109400000004,4.187253909,OK,OK,OK,A,"{""A"": ""12"", ""B"": ""11"", ""C"": ""6"", ""D"": ""13""}",-2.866439795,11.79832708146,8.63836924646,-2.866439795,0.2935180399999999,8.93188728646,OK,OK,OK,D,"{""A"": ""6"", ""B"": ""22"", ""C"": ""11"", ""D"": ""12""}",0.9964675999999999,5.338993111000001,5.160583461000001,0.9964675999999999,1.1748772499999998,6.3354607110000005,OK,OK,OK,D,"{""A"": ""24"", ""B"": ""6"", ""C"": ""22"", ""D"": ""12""}"
2,1.85308086,7.979246146200001,9.183954406200002,1.85308086,0.6483726000000001,9.832327006200002,OK,OK,OK,A,"{""A"": ""40"", ""B"": ""18"", ""C"": ""50"", ""D"": ""41""}",-1.2175501999999998,11.8125830674,13.8691760974,-1.2175501999999998,-3.27414323,10.5950328674,OK,OK,OK,A,"{""A"": ""40"", ""B"": ""20"", ""C"": ""30"", ""D"": ""18""}",1.22470664,4.7084789247000005,4.908237464700001,1.22470664,1.0249481,5.9331855647000005,OK,OK,OK,B,"{""A"": ""41"", ""B"": ""40"", ""C"": ""80"", ""D"": ""2""}",0.33846849999999995,7.426555704099999,6.3336811041,0.33846849999999995,1.4313430999999999,7.7650242040999995,OK,OK,OK,B,"{""A"": ""2"", ""B"": ""40"", ""C"": ""39"", ""D"": ""20""}"
3,9.24934996815,-0.22690618160000042,1.8912087350499993,9.24934996815,7.1312350515,9.02244378655,OK,OK,OK,C,"{""A"": ""170"", ""B"": ""80"", ""C"": ""160"", ""D"": ""161""}",7.999126268,-0.32066671966000015,6.77407114834,7.999126268,0.9043884000000001,7.67845954834,OK,OK,OK,A,"{""A"": ""160"", ""B"": ""80"", ""C"": ""150"", ""D"": ""170""}",9.201075495529999,1.3582065863330008,1.9696596164629998,9.201075495529999,8.5896224654,10.559282081863,OK,OK,OK,B,"{""A"": ""161"", ""B"": ""160"", ""C"": ""159"", ""D"": ""80""}",4.012241372,5.295240339999999,4.203002868,4.012241372,5.104478844,9.307481712,OK,OK,OK,D,"{""A"": ""159"", ""B"": ""80"", ""C"": ""320"", ""D"": ""160""}"
4,8.34569389114,1.8028083494000011,1.1212581975400013,8.34569389114,9.027244043,10.148502240540001,OK,OK,OK,C,"{""A"": ""250"", ""B"": ""244"", ""C"": ""245"", ""D"": ""246""}",7.66030521275,1.8569672768099998,2.85553304956,7.66030521275,6.66173944,9.51727248956,OK,OK,OK,D,"{""A"": ""122.5"", ""B"": ""250"", ""C"": ""244"", ""D"": ""245""}",3.54915045,5.8926464450500005,6.364661815050001,3.54915045,3.0771350799999997,9.44179689505,OK,OK,OK,B,"{""A"": ""255"", ""B"": ""245"", ""C"": ""244"", ""D"": ""250""}",8.42489407947,2.22751599205,3.40314426502,8.42489407947,7.2492658065,10.65241007152,OK,OK,OK,A,"{""A"": ""245"", ""B"": ""250"", ""C"": ""255"", ""D"": ""235""}"
5,11.84908796883,-0.9152866987140005,1.6555423040560004,11.84908796883,9.27825896606,10.933801270116,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""13"", ""C"": ""15"", ""D"": ""2""}",12.559324610600001,-2.3062132481000006,0.7591346752000003,12.559324610600001,9.4939766873,10.2531113625,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""3"", ""C"": ""15"", ""D"": ""13""}",8.18174182094,2.613898392305,1.7171853968049984,8.18174182094,9.07845481644,10.795640213245,OK,OK,OK,B,"{""A"": ""28"", ""B"": ""14"", ""C"": ""3"", ""D"": ""13""}",11.234609474980001,-2.6975023025400002,-0.47662791616,11.234609474980001,9.0137350886,8.53710717244,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""3"", ""C"": ""13"", ""D"": ""28""}"
6,7.42971972383,5.913642971145001,3.171251107455001,7.42971972383,10.17211158752,13.343362694975001,OK,OK,OK,A,"{""A"": ""130"", ""B"": ""260"", ""C"": ""10"", ""D"": ""131""}",8.54091095564,2.899377779713001,4.479822611653,8.54091095564,6.960466123700001,11.440288735353,OK,OK,OK,B,"{""A"": ""140"", ""B"": ""130"", ""C"": ""6"", ""D"": ""129""}",6.057382239,2.4595357517,4.3230590407,6.057382239,4.19385895,8.5169179907,OK,OK,OK,B,"{""A"": ""120"", ""B"": ""130"", ""C"": ""65"", ""D"": ""140""}",1.27246485,12.246176799109,14.680516479109,1.27246485,-1.1618748300000001,13.518641649109,OK,OK,OK,A,"{""A"": ""130"", ""B"": ""-1"", ""C"": ""140"", ""D"": ""120""}"
8,3.772289261,3.55486487856,2.83004573956,3.772289261,4.4971084,7.32715413956,OK,OK,OK,B,"{""A"": ""60"", ""B"": ""30"", ""C"": ""15"", ""D"": ""3""}",-1.76034734,11.52518690686,6.222456356859999,-1.76034734,3.54238321,9.76483956686,OK,OK,OK,A,"{""A"": ""30"", ""B"": ""10"", ""C"": ""31"", ""D"": ""29""}",-5.6492441622000005,13.482593346760002,3.8505270845600004,-5.6492441622000005,3.9828221,7.83334918456,OK,OK,OK,B,"{""A"": ""60"", ""B"": ""30"", ""C"": ""31"", ""D"": ""10""}",3.2036703650000002,5.2232740205,3.9715381145000004,3.2036703650000002,4.455406271,8.4269443855,OK,OK,OK,B,"{""A"": ""10"", ""B"": ""30"", ""C"": ""29"", ""D"": ""15""}"
9,5.138980987999999,3.6490877259000003,6.752149663899999,5.138980987999999,2.03591905,8.7880687139,OK,OK,OK,D,"{""A"": ""12.5"", ""B"": ""0.25"", ""C"": ""15"", ""D"": ""25""}",6.108539673,2.5612526973999996,6.4701807404,6.108539673,2.19961163,8.6697923704,OK,OK,OK,D,"{""A"": ""26"", ""B"": ""20"", ""C"": ""35"", ""D"": ""25""}",3.285682713,6.172406781399999,9.1022469044,3.285682713,0.35584258999999996,9.4580894944,OK,OK,OK,B,"{""A"": ""15"", ""B"": ""25"", ""C"": ""24"", ""D"": ""5""}",4.7682707,3.9878130240999994,2.7694007963999994,4.7682707,5.9866829277,8.7560837241,OK,OK,OK,B,"{""A"": ""12.5"", ""B"": ""25"", ""C"": ""15"", ""D"": ""1.25""}"
10,3.621049884,6.660846541929999,7.888692685929998,3.621049884,2.39320374,10.281896425929999,OK,OK,OK,D,"{""A"": ""55.5"", ""B"": ""292"", ""C"": ""574"", ""D"": ""584""}",1.5792959999999998,8.571769938185001,9.865327978185,1.5792959999999998,0.28573795999999996,10.151065938185,OK,OK,OK,A,"{""A"": ""584"", ""B"": ""55.5"", ""C"": ""585"", ""D"": ""583""}",-2.12985998,7.8909281594,7.5644701794,-2.12985998,-1.803402,5.7610681794,OK,OK,OK,C,"{""A"": ""292"", ""B"": ""585"", ""C"": ""584"", ""D"": ""75""}",4.26130126,5.0672394448,6.8198660948,4.26130126,2.50867461,9.3285407048,OK,OK,OK,C,"{""A"": ""55.5"", ""B"": ""583"", ""C"": ""584"", ""D"": ""292""}"
11,10.668615120830001,-0.6734299446100014,8.517789176219999,10.668615120830001,1.477396,9.99518517622,OK,OK,OK,C,"{""A"": ""2"", ""B"": ""8"", ""C"": ""9"", ""D"": ""-1""}",8.73337424497,2.24007383931,8.53356968428,8.73337424497,2.4398784,10.97344808428,OK,OK,OK,A,"{""A"": ""9"", ""B"": ""8"", ""C"": ""10"", ""D"": ""2""}",8.9623985572,-1.46610480985,11.82083489535,8.9623985572,-4.324541148000001,7.49629374735,OK,OK,OK,D,"{""A"": ""15"", ""B"": ""19"", ""C"": ""-1"", ""D"": ""9""}",8.73779473305,1.3861335819699985,19.636053692719997,8.73779473305,-9.5121253777,10.123928315019999,OK,OK,OK,D,"{""A"": ""8"", ""B"": ""15"", ""C"": ""-1"", ""D"": ""9""}"
