N,low_avg_ECS,low_avg_accuracy,high_avg_ECS,high_avg_accuracy
10,0.7903283824523291,0.675,0.9743852774302164,1.0
20,0.8039079089959463,0.7625,0.9691941986481348,0.9875
30,0.812562948465347,0.8,0.9648595081435308,0.9916666666666668
40,0.8191061854362488,0.71875,0.9618532178302605,0.975
50,0.824164148569107,0.7,0.9591000392039618,0.965
60,0.828340021106932,0.7,0.9563898561729326,0.9625
70,0.8318551063537598,0.6857142857142857,0.9539203113033656,0.9428571428571428
80,0.8353070907294751,0.696875,0.9517598075171312,0.946875
80,0.8353070907294751,0.696875,0.9517598075171312,0.946875
90,0.8386814303972103,0.6972222222222222,0.9498176150851778,0.9444444444444444
100,0.8419070215026538,0.7,0.9479738146066664,0.94
110,0.8449347924102436,0.7045454545454546,0.9462087484020172,0.9272727272727272
120,0.8477662070757813,0.7083333333333334,0.9445358406338424,0.9270833333333334
130,0.850421444651408,0.7057692307692308,0.9429708020045204,0.9192307692307692
140,0.8529333717056683,0.7142857142857143,0.9413919658178376,0.9160714285714284
150,0.855338267882665,0.72,0.9398238431745106,0.9016666666666666
160,0.8576752430448928,0.725,0.9382746106013656,0.890625
170,0.859933698761697,0.7279411764705882,0.936740666452576,0.8911764705882353
180,0.8621342692110273,0.7236111111111111,0.935194430472674,0.8902777777777777
190,0.8642784360730859,0.7342105263157894,0.9336491113691998,0.8894736842105263
