avg_ECS,avg_accuracy,density
0.780601605,43.75,6
0.7989843045,47.5,0
0.8064132019999999,43.75,45
0.811160059,36.25,45
0.8153157369999999,33.75,45
0.8193021235,36.25,45
0.823219509,42.5,0
0.8271820140000001,47.5,0
0.8314739655000001,63.75,0
0.8360082975,63.75,0
0.8410237215,60.0,0
0.846386618,60.0,0
0.85133514,60.0,0
0.8557405469999999,55.0,0
0.8590334440000001,56.25,0
0.861483017,51.25,94
0.8634712279999999,42.5,94
0.8651047560000003,43.75,94
0.8665396734999999,48.75,94
0.868031244,56.25,0
0.8697965059999999,58.75,0
0.8716783595,61.25,0
0.8735077600000002,62.5,0
0.8751512379999999,58.75,0
0.8768462434999998,57.5,0
0.8784702655000001,57.5,0
0.8802289919999999,53.75,0
0.8820784315000001,53.75,0
0.8836988894999998,52.5,0
0.8851779310000001,53.75,0
0.8869285565,55.0,0
0.8886848895,51.25,0
0.8907261475,57.5,0
0.892926053,56.25,0
0.8947790244999998,56.25,0
0.896602888,62.5,0
0.8981671835,60.0,0
0.8999699275000002,60.0,0
0.9021818900000002,61.25,0
0.9042157829999997,56.25,129
0.9063572409999999,53.75,129
0.9085263729999999,53.75,129
0.9103210134999999,58.75,129
0.9122559750000001,60.0,0
0.914259038,68.75,0
0.9159671285,70.0,0
0.9177824289999998,65.0,0
0.9197765905,73.75,0
0.9218737329999998,60.0,0
0.9241095905,58.75,0
0.9262537705000001,62.5,0
0.9282679824999999,53.75,0
0.930583411,65.0,0
0.932819036,71.25,0
0.935376838,73.75,0
0.9387404759999999,83.75,0
0.9421166304999999,83.75,38
0.9468687555,82.5,38
0.9541749245,73.75,38
