avg_ECS,avg_accuracy
0.8039079089959463,0.7625
0.8151197165250779,0.8
0.8236802314718565,0.8625
0.8291729738314946,0.75
0.8343044618765513,0.675
0.8383573949337005,0.6125
0.8415659487247467,0.55
0.8446375260750452,0.6125
0.8468076924482981,0.6625
0.8487739369273186,0.7125
0.8510825008153917,0.65
0.8535984873771667,0.675
0.8562082995971043,0.6875
0.8593356033166251,0.7125
0.8625735645492872,0.7375
0.8654395764072735,0.75
0.8683067445953686,0.7125
0.8708253865440687,0.6625
0.8730749214688936,0.7375
0.8751095096270243,0.775
0.877062134941419,0.75
0.8788796727855999,0.75
0.8805980319778126,0.7125
0.8824016104141872,0.675
0.8839363594849905,0.75
0.885595768193404,0.8125
0.887297618885835,0.8125
0.8890541488925615,0.8375
0.8908683424194654,0.8
0.8926461954911551,0.75
0.8943994303544363,0.7875
0.8961432004968325,0.725
0.8978064785401025,0.7125
0.8994870980580648,0.7375
0.9012087032198908,0.7875
0.9027201374371847,0.85
0.9043534035483995,0.9
0.9057905192176501,0.9
0.9073708931605022,0.875
0.90902242710193,0.875
0.9105529894431432,0.8875
0.9122017368674278,0.8375
0.9136168410380682,0.8125
0.9150539706150692,0.775
0.9164531240860623,0.7125
0.9178103243311245,0.7625
0.9193686107794445,0.7875
0.9209845011432967,0.8
0.9225287169218065,0.85
0.9239519993464154,0.85
0.9251620968182882,0.875
0.9261638849973679,0.875
0.9273459707697231,0.8625
0.9287251080075899,0.875
0.9299688483277958,0.85
0.9313656404614447,0.875
0.9328298429648081,0.9125
0.9341398939490316,0.9375
0.9354581783215205,0.95
0.9367122665047644,0.95
0.9378696615497271,0.9
0.939240514735381,0.8875
0.940970991551876,0.8875
0.9430391167600952,0.8875
0.9454631328582763,0.9375
0.9479075978199643,0.925
0.9504608357946077,0.925
0.9525607163707415,0.95
0.9545122370123863,0.9625
0.957304678360621,0.9875
0.9600966235001882,0.9875
0.9637667447328567,0.9875
0.9691941986481349,0.9875
