avg_ECS,avg_accuracy,density
0.819681611875,50.3125,51
0.827508818125,50.625,45
0.8324224691249998,50.625,45
0.836552927,48.75,139
0.840399017625,50.0,139
0.844038931,49.6875,139
0.8474540869999998,51.875,94
0.8507707232499999,53.75,94
0.8540192098749999,56.25,94
0.85713299,55.9375,94
0.86002614975,56.875,94
0.8627630292499999,56.5625,94
0.865362279375,54.6875,94
0.867748482,54.375,94
0.8698274673749999,55.3125,94
0.871685982625,55.0,94
0.87345321675,52.8125,94
0.8751078280000002,54.0625,94
0.8768012455,55.0,94
0.87848645075,55.0,0
0.880266946625,56.5625,0
0.8820631522500001,57.1875,0
0.88386108325,56.875,0
0.8856293617500001,56.5625,0
0.887359616,56.875,0
0.88913604425,56.875,0
0.89102961575,56.5625,0
0.892895498,55.9375,129
0.8947373653749999,55.9375,129
0.896650071125,55.9375,129
0.8985526211250001,57.8125,129
0.900439883875,57.5,129
0.9023774025,60.0,129
0.9043473705,60.0,129
0.9062660892500001,60.3125,129
0.908212809125,63.125,129
0.9101642988749999,60.625,129
0.912143254875,60.625,129
0.91413477575,61.875,129
0.91612908275,60.9375,129
0.9182683557500001,61.875,129
0.920355532,63.4375,129
0.92243351275,65.0,129
0.9247602560000001,67.8125,0
0.927208203125,69.375,38
0.929941127625,70.625,38
0.9333969905,68.75,38
